_id,İLÇE ADI,KATSAYISI,TOPLAM YAPI SAYISI
1,ALİAĞA,1,8096
2,ALİAĞA,2,4927
3,ALİAĞA,3,2240
4,ALİAĞA,4,1386
5,ALİAĞA,5,1190
6,ALİAĞA,6,560
7,ALİAĞA,7,375
8,ALİAĞA,8,76
9,ALİAĞA,9,51
10,ALİAĞA,10,7
11,ALİAĞA,11,27
12,ALİAĞA,12,1
13,ALİAĞA,13,1
14,ALİAĞA,14,1
15,BALÇOVA,1,882
16,BALÇOVA,2,423
17,BALÇOVA,3,854
18,BALÇOVA,4,2735
19,BALÇOVA,5,1147
20,BALÇOVA,6,351
21,BALÇOVA,7,258
22,BALÇOVA,8,98
23,BALÇOVA,9,94
24,BALÇOVA,10,34
25,BALÇOVA,11,25
26,BALÇOVA,12,7
27,BALÇOVA,13,6
28,BALÇOVA,24,1
29,BALÇOVA,28,1
30,BALÇOVA,29,1
31,BAYINDIR,1,12027
32,BAYINDIR,2,6824
33,BAYINDIR,3,637
34,BAYINDIR,4,302
35,BAYINDIR,5,201
36,BAYINDIR,6,37
37,BAYINDIR,7,8
38,BAYINDIR,8,1
39,BAYINDIR,11,1
40,BAYRAKLI,1,6859
41,BAYRAKLI,2,6280
42,BAYRAKLI,3,7507
43,BAYRAKLI,4,6398
44,BAYRAKLI,5,3034
45,BAYRAKLI,6,1154
46,BAYRAKLI,7,373
47,BAYRAKLI,8,499
48,BAYRAKLI,9,479
49,BAYRAKLI,10,192
50,BAYRAKLI,11,199
51,BAYRAKLI,12,60
52,BAYRAKLI,13,21
53,BAYRAKLI,14,26
54,BAYRAKLI,15,16
55,BAYRAKLI,16,13
56,BAYRAKLI,17,4
57,BAYRAKLI,18,4
58,BAYRAKLI,19,2
59,BAYRAKLI,21,3
60,BAYRAKLI,22,2
61,BAYRAKLI,23,1
62,BAYRAKLI,26,2
63,BAYRAKLI,27,1
64,BAYRAKLI,30,2
65,BAYRAKLI,31,1
66,BAYRAKLI,33,2
67,BAYRAKLI,34,3
68,BAYRAKLI,35,4
69,BAYRAKLI,36,2
70,BAYRAKLI,40,2
71,BAYRAKLI,44,1
72,BAYRAKLI,48,2
73,BAYRAKLI,55,1
74,BERGAMA,1,23169
75,BERGAMA,2,6995
76,BERGAMA,3,2192
77,BERGAMA,4,1491
78,BERGAMA,5,1057
79,BERGAMA,6,439
80,BERGAMA,7,136
81,BERGAMA,8,27
82,BERGAMA,9,17
83,BERGAMA,10,2
84,BERGAMA,11,2
85,BEYDAĞ,1,2288
86,BEYDAĞ,2,2923
87,BEYDAĞ,3,570
88,BEYDAĞ,4,241
89,BEYDAĞ,5,105
90,BEYDAĞ,6,3
91,BORNOVA,1,11715
92,BORNOVA,2,14004
93,BORNOVA,3,16084
94,BORNOVA,4,12447
95,BORNOVA,5,5709
96,BORNOVA,6,1540
97,BORNOVA,7,604
98,BORNOVA,8,496
99,BORNOVA,9,440
100,BORNOVA,10,178
101,BORNOVA,11,86
102,BORNOVA,12,35
103,BORNOVA,13,17
104,BORNOVA,14,19
105,BORNOVA,15,9
106,BORNOVA,16,18
107,BORNOVA,17,5
108,BORNOVA,18,2
109,BORNOVA,19,3
110,BORNOVA,20,2
111,BORNOVA,21,2
112,BORNOVA,22,4
113,BORNOVA,27,1
114,BORNOVA,28,1
115,BORNOVA,29,1
116,BORNOVA,30,1
117,BORNOVA,31,2
118,BORNOVA,32,1
119,BORNOVA,33,1
120,BORNOVA,35,1
121,BORNOVA,36,1
122,BORNOVA,40,2
123,BORNOVA,46,1
124,BORNOVA,47,1
125,BORNOVA,55,1
126,BUCA,1,10597
127,BUCA,2,10499
128,BUCA,3,10949
129,BUCA,4,13743
130,BUCA,5,8219
131,BUCA,6,2020
132,BUCA,7,548
133,BUCA,8,257
134,BUCA,9,242
135,BUCA,10,292
136,BUCA,11,125
137,BUCA,12,51
138,BUCA,13,42
139,BUCA,14,10
140,BUCA,15,15
141,BUCA,16,3
142,BUCA,17,5
143,BUCA,18,3
144,BUCA,19,1
145,BUCA,20,2
146,BUCA,21,2
147,BUCA,22,1
148,BUCA,35,1
149,BUCA,51,1
150,DİKİLİ,1,7842
151,DİKİLİ,2,26179
152,DİKİLİ,3,5550
153,DİKİLİ,4,693
154,DİKİLİ,5,421
155,DİKİLİ,6,198
156,DİKİLİ,7,79
157,DİKİLİ,8,28
158,DİKİLİ,9,13
159,DİKİLİ,10,8
160,FOÇA,1,5594
161,FOÇA,2,12165
162,FOÇA,3,4588
163,FOÇA,4,331
164,FOÇA,5,38
165,FOÇA,6,12
166,FOÇA,7,1
167,GAZİEMİR,1,3204
168,GAZİEMİR,2,3704
169,GAZİEMİR,3,4091
170,GAZİEMİR,4,2543
171,GAZİEMİR,5,1062
172,GAZİEMİR,6,784
173,GAZİEMİR,7,147
174,GAZİEMİR,8,110
175,GAZİEMİR,9,149
176,GAZİEMİR,10,43
177,GAZİEMİR,11,6
178,GAZİEMİR,12,2
179,GAZİEMİR,15,1
180,GAZİEMİR,16,7
181,GAZİEMİR,17,3
182,GÜZELBAHÇE,1,2437
183,GÜZELBAHÇE,2,2914
184,GÜZELBAHÇE,3,4782
185,GÜZELBAHÇE,4,1365
186,GÜZELBAHÇE,5,184
187,GÜZELBAHÇE,6,138
188,GÜZELBAHÇE,7,15
189,GÜZELBAHÇE,8,1
190,GÜZELBAHÇE,9,1
191,KARABAĞLAR,1,9262
192,KARABAĞLAR,2,9433
193,KARABAĞLAR,3,11940
194,KARABAĞLAR,4,9720
195,KARABAĞLAR,5,6048
196,KARABAĞLAR,6,2682
197,KARABAĞLAR,7,1229
198,KARABAĞLAR,8,627
199,KARABAĞLAR,9,401
200,KARABAĞLAR,10,347
201,KARABAĞLAR,11,69
