passage_id,short_label,section_id,transcript_lines,prosecutor_focus
P01,"Canlı bomba",4,"32-34","Canlı bombalara ilişkin şakanın amacı"
P02,"Oruç tutan canlı bomba",4,"32-33","Oruç tutan ve tutmayan kişiler arasında ayrım yapılıp yapılmadığı"
P03,"Dördüncü kitap",12,"99","Kutsal kitaba yönelik çeviri ve son kitap kelime oyunu"
P04,"Domuz da yemeyiversinler",12,"99","Kutsal metin ve domuz eti bağlamındaki ifade"
P05,"Diktatör",7,"47","Cumhurbaşkanı için kullanılan siyasal niteleme"
P06,"Kır kabuklarını Tayyip",7,"49","Cumhurbaşkanına yönelik kişisel gelişim parodisi"
P07,"Erdoğan’ın terapisti",7,"52","Cumhurbaşkanının terapisti olma şakası"
P08,"FETÖ projesi",15,"117-120","FETÖ projesi yorumu ve çocukluk anlatısı"
P09,"Haşema ve dalgıçlar",18,"133-141","Seyircinin önyargısını ters köşeye düşüren plaj şakası"
P10,"Tanrı’nın olmayabileceği",32,"229-231","Çocukluk ve kurban anlatısındaki varsayım"
