section_id,start_line,end_line,title,word_count,primary_theme,questioned_passage_ids
1,2,9,"Giriş ve Seyircinin Koşulsuz Güveni",206,"Medya ve kültür",""
2,10,21,"Yeni Tarz ve İyi İnsan İllüzyonu",214,"Kimlik ve inanç",""
3,22,28,"İkinci Sıra Bilet Gelirleri ve Tetikçi Piyasası",221,"Şiddet ve güvenlik",""
4,29,34,"Yeni Nesil Mafyalar ve Yanlış Pedagoji",184,"Şiddet ve güvenlik","P01;P02"
5,35,40,"Siyasi Gündem ve Eylem Tutkusu",295,"Siyaset ve kurumlar",""
6,41,44,"İmamoğlu’nun Hapishane Hayatı ve Dört Kitap",169,"Siyaset ve kurumlar",""
7,45,53,"Utangaç Diktatörlükten Kişisel Gelişime",358,"Siyaset ve kurumlar","P05;P06;P07"
8,54,64,"Üniversiteler ve Trabzon Turnesi Şoku",314,"Siyaset ve kurumlar",""
9,65,68,"Oxford'da Türk Egemenliği ve Ümit Özdağ Arasındaki Sıkışma",150,"Siyaset ve kurumlar",""
10,69,82,"Fatih Altaylı Programı ve Celal Şengör’ün Asperger Muafiyeti",908,"Medya ve kültür",""
11,83,94,"İlber Ortaylı’nın Ninni Savunması ve Tarihçilerin Linç Kültürü",390,"Medya ve kültür",""
12,95,99,"Saç Kesimi ve Sokaktaki Sıfat Anksiyetesi",342,"Kimlik ve inanç","P03;P04"
13,100,105,"İlk Gösterinin Borçları ve Avukatların Sert Yorumu",363,"Medya ve kültür",""
14,106,115,"Eylemsizlik Suçu ve Berlin Sürgünü Rüyası",298,"Siyaset ve kurumlar",""
15,116,120,"Halkın Beni Anlaması ve Paralel Hayat İhtimalleri",284,"Kimlik ve inanç","P08"
16,121,125,"Mayıs 2023 Seçim Travması ve Neşe Savunması",258,"Siyaset ve kurumlar",""
17,126,131,"Orta Sınıf Tatili ve Airbnb Dede Kabusu",368,"Gündelik hayat ve ilişkiler",""
18,132,141,"Dalgıçlar ve Yurt Dışı İkilemi",337,"Kimlik ve inanç","P09"
19,142,147,"Avrupa'da Ortamın En Muhafazakarı Olmak",278,"Kimlik ve inanç",""
20,148,153,"Mimari Özen ve Türkiye'nin Siyasi Birası",305,"Medya ve kültür",""
21,154,157,"İstanbul’da Yalnızlık ve Kadıköy Nefreti",253,"Gündelik hayat ve ilişkiler",""
22,158,163,"Kadın Hakları ve Selanikli Eleştirisi",166,"Kimlik ve inanç",""
23,164,167,"Aras Bulut İynemli ve Harbiye’deki Atatürk Silüeti",169,"Medya ve kültür",""
24,168,172,"Kadıköy’ün Devasa Boykot Kültürü ve Islak Hamburger İtirafı",398,"Siyaset ve kurumlar",""
25,173,178,"Futbol Fanatizmi ve Voleyboldaki Beton Yetmez Estetiği",571,"Medya ve kültür",""
26,179,187,"Bağımlılık Özentisi ve Mehmet Ağar’ın Tatil CV’si",380,"Gündelik hayat ve ilişkiler",""
27,188,197,"Psikoloji Mezuniyeti ve Bakırköy’deki Ağlak Raporu",501,"Gündelik hayat ve ilişkiler",""
28,198,203,"ODTÜ Psikoloji Planı ve Oral Fiksasyon Vakası",340,"Gündelik hayat ve ilişkiler",""
29,204,212,"Freudian Slip ve Babaların Kötülük Yarışı",352,"Gündelik hayat ve ilişkiler",""
30,213,217,"İyi Babanın Zararları ve Erkeklik Jestleri Eksikliği",278,"Gündelik hayat ve ilişkiler",""
31,218,223,"Muhafazakar Ailelerin Seküler Çocukları ve James Hetfield Teorisi",347,"Kimlik ve inanç",""
32,224,231,"Deniz İsminin Ağırlığı ve Çocukluk Kurbanı",288,"Kimlik ve inanç","P10"
33,232,241,"Son Beş Dakika: Sıvılarla Mücadele ve Ayrılık Podcast'i",737,"Gündelik hayat ve ilişkiler",""
34,242,249,"Kapanış: Milliyetçilerin Fobisi ve İsyan Teşviki",186,"Kimlik ve inanç",""
